alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_nom_fr;Energie_Kj;Energie_Kcal;Eau;Proteines;Glucides;Lipides;Sucres;Glucose;"Fibres
alimentaires";"AG
saturés";"Sel
chlorure
de
sodium"
;;;Dessert (aliment moyen);1070;255;49.9;4.39;32.9;11.3;21.3;1.91;1.7;4.96;0.33
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Avocat. chair sans peau. sans noyau. cru;838;203;70.3;1.56;traces;20.6;0.4;0.16;3.6;4.51;0.015
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Chayote ou christophine ou chouchou. crue;80;19.1;94.2;0.82;2.8;0.13;1.66;-;1.7;0.028;0.005
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Graine germée de luzerne. crue;122;29.2;92.8;3.99;0.81;0.69;0.2;0.08;1.9;0.069;0.015
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Graine germée de radis. fraîche. crue;-;-;90.1;3.81;-;2.53;-;-;-;0.77;0.015
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Bette ou blette. côte (sans feuille). crue;53.5;12.8;95.4;1;1.63;< 0.5;1.2;0.7;1.8;< 0.01;0.57
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Carotte. crue;127;30.2;90;0.78;5.16;< 0.5;4.85;0.89;2.9;< 0.15;0.12
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Champignon. tout type. cru;102;24.3;92.5;2.42;2.25;0.34;1.74;1.48;1.63;0.05;0.012
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Salade ou chicorée frisée. crue;108;26;92;1.7;2.13;0.3;0.7;-;4;0.073;0.11
fruits. légumes. légumineuses et oléagineux;légumes;légumes crus;Chou rouge. cru;111;26.4;90.7;1.13;4.33;< 0.5;3.9;2.2;2.8;< 0.01;0.035
